Ozone,Solar.R,Wind,Temp,Day,MonthName
41,190,7.4,67,1,May
36,118,8,72,2,May
12,149,12.6,74,3,May
18,313,11.5,62,4,May
NA,NA,14.3,56,5,May
28,NA,14.9,66,6,May
23,299,8.6,65,7,May
19,99,13.8,59,8,May
8,19,20.1,61,9,May
NA,194,8.6,69,10,May
7,NA,6.9,74,11,May
16,256,9.7,69,12,May
11,290,9.2,66,13,May
14,274,10.9,68,14,May
18,65,13.2,58,15,May
14,334,11.5,64,16,May
34,307,12,66,17,May
6,78,18.4,57,18,May
30,322,11.5,68,19,May
11,NA,9.7,62,20,May
1,8,9.7,59,21,May
11,320,16.6,73,22,May
4,25,9.7,61,23,May
32,92,12,-100,24,May
NA,66,16.6,57,25,May
NA,266,14.9,58,26,May
NA,NA,8,57,27,May
23,13,12,67,28,May
45,252,14.9,81,29,May
115,223,5.7,79,30,May
37,279,7.4,76,31,May
NA,286,8.6,78,1,Jun
NA,287,9.7,74,2,Jun
NA,242,16.1,67,3,Jun
NA,186,9.2,84,4,Jun
NA,220,8.6,85,5,Jun
NA,264,14.3,79,6,Jun
29,127,9.7,82,7,Jun
NA,273,6.9,87,8,Jun
71,291,13.8,90,9,Jun
39,323,11.5,87,10,Jun
NA,259,10.9,93,11,Jun
NA,250,9.2,92,12,Jun
23,148,8,82,13,Jun
NA,332,13.8,80,14,Jun
NA,322,11.5,79,15,Jun
21,191,14.9,-10,16,Jun
37,284,20.7,72,17,Jun
999,37,9.2,65,18,Jnue
12,120,11.5,73,19,Jun
13,137,10.3,76,20,Jun
NA,150,6.3,77,21,Jun
NA,59,1.7,76,22,Jun
NA,91,4.6,76,23,Jun
NA,250,6.3,76,24,Jun
NA,135,8,75,25,Jun
NA,127,8,78,26,Jun
NA,47,10.3,73,27,Jun
NA,98,11.5,80,28,Jun
NA,31,14.9,77,29,June
NA,138,8,83,30,June
135,269,4.1,84,1,Jul
49,248,9.2,85,2,Jul
32,236,9.2,81,3,Jul
NA,101,10.9,84,4,Agust
64,175,4.6,83,5,Jul
40,314,10.9,83,6,Jul
77,276,5.1,88,7,Jul
97,267,6.3,92,8,Jul
97,272,5.7,92,9,Jul
85,NA,7.4,89,10,Jul
NA,139,8.6,82,11,Jul
10,264,14.3,73,12,Jul
27,175,14.9,81,13,Sept
NA,291,14.9,91,14,Jul
7,48,14.3,80,15,Jul
48,260,6.9,81,16,Jul
35,274,10.3,82,17,Jul
61,285,6.3,84,18,Jul
79,187,5.1,87,19,Jul
63,220,11.5,85,20,Jul
16,7,6.9,74,21,Jul
NA,258,9.7,81,22,Jul
NA,295,11.5,82,23,Jul
80,294,8.6,86,24,Jul
108,223,8,85,25,Jul
20,81,8.6,82,26,Jul
52,82,12,86,27,Jul
82,NA,7.4,88,28,Jul
50,275,7.4,86,29,Jul
64,253,7.4,83,30,Jul
59,254,9.2,81,31,Jul
39,83,6.9,81,1,Aug
9,24,13.8,81,2,Aug
16,77,7.4,82,3,Aug
78,NA,6.9,86,4,Aug
35,NA,7.4,85,5,Aug
66,NA,4.6,87,6,Aug
122,255,4,89,7,Aug
89,NA,10.3,90,8,Aug
110,207,8,90,9,Aug
NA,222,8.6,92,10,Aug
NA,137,11.5,86,11,Aug
44,192,11.5,86,12,Aug
28,273,11.5,82,13,Aug
65,157,9.7,80,14,Aug
NA,64,11.5,79,15,Aug
22,71,10.3,77,16,Aug
59,51,6.3,79,17,Aug
23,NA,7.4,76,18,Aug
31,244,10.9,78,19,Aug
44,190,10.3,78,20,Aug
21,259,15.5,77,21,Aug
9,36,14.3,72,22,Aug
NA,255,12.6,75,23,Aug
45,212,9.7,79,24,Aug
168,238,3.4,81,25,Aug
73,215,8,86,26,Aug
NA,153,5.7,88,27,Aug
76,203,9.7,97,28,Aug
118,225,2.3,94,29,Aug
84,237,6.3,96,30,MAYY
85,188,6.3,94,31,Aug
96,167,6.9,91,1,Sep
78,197,5.1,92,2,Sep
73,183,2.8,93,3,Sep
91,189,4.6,93,4,Sep
999,95,7.4,87,5,Sep
32,92,15.5,84,6,Sep
20,252,10.9,80,7,Sep
23,220,10.3,78,8,Sep
21,230,10.9,75,9,Sep
24,259,9.7,73,10,Sep
44,236,14.9,81,11,Sep
21,259,15.5,76,12,Sep
28,238,6.3,77,13,Sep
9,24,10.9,71,14,Sep
13,112,11.5,71,15,Sep
46,237,6.9,78,16,Sep
18,224,13.8,67,17,Sep
13,27,10.3,76,18,Sep
24,238,10.3,68,19,Sep
16,201,8,82,20,Sep
13,238,12.6,64,21,Sep
23,14,9.2,71,22,Sep
36,139,10.3,81,23,Jule
7,49,10.3,69,24,Sep
14,20,16.6,63,25,Sep
30,193,6.9,70,26,Sep
NA,145,13.2,77,27,Sep
14,191,14.3,75,28,Sep
18,131,8,76,29,Sep
20,223,11.5,68,30,Sep
