"id","sex","birthdate","status","mom","dad","number_littermates","litrank","birthYear","clan","rank","stan_rank","dengrad","weaned","disappeared","disappeared_event_status","dispersal","mating"
"aang","f",2018-10-17,"r","ana",NA,"1","2",2018,"serena.n",4,0.71,2019-10-17,NA,2022-10-24,"dls",NA,2021-10-15
"abat","f",2015-11-17,"r","arro",NA,"1","1",2015,"serena.n",12,-0.1,2016-08-06,2016-07-03,2016-12-28,"dls",NA,NA
"abby","u",2010-10-09,"r","lcs",NA,"1",NA,2010,"serena.n",18,-1,NA,NA,2011-04-10,"dls",NA,NA
"aca","f",2007-10-24,"r","sbl",NA,NA,NA,2007,"talek",5,0.46,2008-07-20,2008-09-26,2009-06-04,"dls",NA,NA
"acia","u",2011-11-19,"r","obam",NA,NA,NA,2011,"talek",33,-0.68,NA,NA,2012-01-27,"dls",NA,NA
"acin","m",2013-12-22,"r","silk",NA,"0",NA,2013,"happy.zebra",11,-0.66,2014-11-23,2014-10-08,2014-12-19,"dead",NA,NA
"acne","f",2015-06-06,"r","ffl",NA,"1","1",2015,"talek",31,-0.39,2016-03-17,2016-09-07,NA,"dls",NA,2019-04-20
"acon","m",2009-12-18,"r","hel",NA,"1","1",2009,"talek",2,0.9,2010-08-03,2010-08-20,2016-05-14,"dls",2013-08-30,NA
"acro","f",2010-09-09,"r","joni",NA,"1","2",2010,"serena.n",6,0.41,NA,2011-03-11,2011-05-10,"dls",NA,NA
"adl","u",2011-02-28,"r","pike",NA,"0",NA,2011,"happy.zebra",2,0.81,NA,NA,2011-04-26,"dls",NA,NA
"adon","f",2001-03-20,"r","mrph","bp","1","2",2001,"talek",1,1,2001-10-08,2001-12-06,2017-12-03,"dls",NA,2003-10-17
"ads","m",2015-02-11,"r","hex",NA,"0",NA,2015,"talek",38,-0.72,2016-03-17,2015-08-20,2018-09-08,"dls",NA,NA
"agp","m",1991-11-06,"r","ot","mrb","0","1",1991,"talek",6,0.5,1992-07-18,1993-04-09,1996-06-12,"dls",1995-07-30,NA
"ahi","m",2013-01-25,"r","hrpy",NA,"1",NA,2013,"talek",8,0.7,2013-08-26,2013-10-23,2015-07-31,"dls",NA,NA
"alde","m",2010-11-01,"r","loki",NA,"1","1",2010,"talek",3,0.85,2011-06-08,2011-08-10,2013-03-21,"dls",NA,NA
"alfe","f",2009-01-05,"r","guci",NA,"1","1",2009,"talek",10,0.14,2009-08-02,2010-01-15,2020-09-01,"dls",NA,2012-11-25
"ali","f",1997-08-04,"r","bb","mike","1","1",1997,"talek",9,0.42,1998-08-18,1998-06-21,2018-02-06,"dls",NA,2000-03-31
"alie","f",2014-04-20,"r","sgl",NA,"0",NA,2014,"happy.zebra",14,-0.73,2014-11-26,NA,2015-10-14,"dls",NA,NA
"alls","f",2011-11-16,"r","hex","ccp","1","1",2011,"talek",34,-0.73,2012-07-04,2012-09-23,2013-05-04,"dls",NA,NA
"alta","m",2013-03-26,"r","bab",NA,"1",NA,2013,"talek",41,-0.7,NA,NA,2013-11-01,"dls",NA,NA
"alum","m",2003-07-26,"r","ath",NA,NA,NA,2003,"talek",4,0.62,2004-03-03,2004-03-16,2008-04-26,"dls",NA,NA
"amar","f",1995-01-25,"r","ua","fn","1","1",1995,"talek",17,-0.1,1995-10-24,1996-07-15,2003-06-13,"dls",NA,1998-10-25
"amaz","f",2009-02-15,"r","hel",NA,"1","1",2009,"talek",2,0.9,2009-11-19,2009-09-29,NA,"dls",NA,2011-11-16
"amh","u",2009-07-19,"r","sam",NA,"1","1",2009,"talek",9,0.23,NA,NA,2010-04-15,"dls",NA,NA
"amrl","f",2016-05-07,"r","blg",NA,"1","2",2016,"serena.s",18,-0.47,2017-02-22,2017-06-24,2018-03-12,"dls",NA,NA
"amta","f",2015-01-31,"r","silk",NA,"1","2",2015,"happy.zebra",16,-0.66,NA,NA,2015-06-28,"dead",NA,NA
"ana","f",2012-12-02,"r","digs","lpr","0",NA,2012,"serena.n",4,0.7,2013-06-26,2013-11-05,NA,"dls",NA,2015-06-18
"ande","u",2013-09-26,"r","hel",NA,NA,NA,2013,"talek",1,1,NA,NA,2013-11-14,"dls",NA,NA
"ando","f",2013-02-16,"r","saw",NA,"1","1",2013,"happy.zebra",5,0.33,2013-10-06,2013-09-27,NA,"dls",NA,2019-07-29
"andr","m",2002-03-08,"r","mrph",NA,"1",NA,2002,"talek",1,1,2002-11-10,2002-12-08,2002-12-18,"dls",NA,NA
